Average Life Expectancy,Race,Sex,Year
67.4,White,Male,1958
67.5,White,Male,1959
67.4,White,Male,1960
67.8,White,Male,1961
67.7,White,Male,1962
67.4,White,Male,1963
67.7,White,Male,1964
67.6,White,Male,1965
67.5,White,Male,1966
67.8,White,Male,1967
67.5,White,Male,1968
67.7,White,Male,1969
68,White,Male,1970
68.3,White,Male,1971
68.3,White,Male,1972
68.5,White,Male,1973
69,White,Male,1974
69.5,White,Male,1975
69.9,White,Male,1976
70.2,White,Male,1977
70.4,White,Male,1978
70.8,White,Male,1979
70.7,White,Male,1980
71.1,White,Male,1981
71.5,White,Male,1982
71.6,White,Male,1983
71.8,White,Male,1984
71.8,White,Male,1985
71.9,White,Male,1986
72.1,White,Male,1987
72.2,White,Male,1988
72.5,White,Male,1989
72.7,White,Male,1990
72.9,White,Male,1991
73.2,White,Male,1992
73.1,White,Male,1993
73.3,White,Male,1994
73.4,White,Male,1995
73.9,White,Male,1996
74.3,White,Male,1997
74.5,White,Male,1998
74.6,White,Male,1999
74.7,White,Male,2000
74.9,White,Male,2001
74.9,White,Male,2002
75.1,White,Male,2003
75.5,White,Male,2004
75.5,White,Male,2005
75.8,White,Male,2006
76,White,Male,2007
76.1,White,Male,2008
76.4,White,Male,2009
76.5,White,Male,2010
76.6,White,Male,2011
76.7,White,Male,2012
76.7,White,Male,2013
48.473154,All Races,Female,1900
48.938042,All Races,Female,1901
49.40216,All Races,Female,1902
49.865364,All Races,Female,1903
50.327728,All Races,Female,1904
50.789025,All Races,Female,1905
51.249338,All Races,Female,1906
51.708384,All Races,Female,1907
52.166356,All Races,Female,1908
52.623078,All Races,Female,1909
53.07841,All Races,Female,1910
53.532379,All Races,Female,1911
53.984805,All Races,Female,1912
54.435693,All Races,Female,1913
54.885133,All Races,Female,1914
55.332809,All Races,Female,1915
55.778715,All Races,Female,1916
56.222832,All Races,Female,1917
56.665133,All Races,Female,1918
57.105415,All Races,Female,1919
57.543703,All Races,Female,1920
57.979884,All Races,Female,1921
58.41392,All Races,Female,1922
58.845787,All Races,Female,1923
59.275354,All Races,Female,1924
59.702569,All Races,Female,1925
60.127421,All Races,Female,1926
60.549703,All Races,Female,1927
60.969401,All Races,Female,1928
61.386559,All Races,Female,1929
61.800982,All Races,Female,1930
62.212619,All Races,Female,1931
62.621486,All Races,Female,1932
63.02739,All Races,Female,1933
63.430322,All Races,Female,1934
63.830285,All Races,Female,1935
64.227099,All Races,Female,1936
64.620791,All Races,Female,1937
65.011211,All Races,Female,1938
65.398355,All Races,Female,1939
65.782078,All Races,Female,1940
66.162402,All Races,Female,1941
66.539201,All Races,Female,1942
66.912448,All Races,Female,1943
67.281938,All Races,Female,1944
67.647862,All Races,Female,1945
68.009918,All Races,Female,1946
68.36814,All Races,Female,1947
68.722369,All Races,Female,1948
69.072717,All Races,Female,1949
69.419029,All Races,Female,1950
69.761134,All Races,Female,1951
70.099082,All Races,Female,1952
70.432699,All Races,Female,1953
70.762061,All Races,Female,1954
71.087005,All Races,Female,1955
71.407496,All Races,Female,1956
71.723465,All Races,Female,1957
72.034817,All Races,Female,1958
72.341473,All Races,Female,1959
72.643415,All Races,Female,1960
72.940566,All Races,Female,1961
73.232805,All Races,Female,1962
73.520082,All Races,Female,1963
73.802474,All Races,Female,1964
74.079608,All Races,Female,1965
74.351681,All Races,Female,1966
74.618564,All Races,Female,1967
74.880227,All Races,Female,1968
75.136359,All Races,Female,1969
75.387232,All Races,Female,1970
75.632542,All Races,Female,1971
75.872338,All Races,Female,1972
76.106448,All Races,Female,1973
76.334905,All Races,Female,1974
76.557588,All Races,Female,1975
76.774454,All Races,Female,1976
76.985374,All Races,Female,1977
77.190376,All Races,Female,1978
77.389349,All Races,Female,1979
77.582203,All Races,Female,1980
77.768904,All Races,Female,1981
77.949388,All Races,Female,1982
78.123515,All Races,Female,1983
78.291318,All Races,Female,1984
78.452624,All Races,Female,1985
78.607428,All Races,Female,1986
78.755684,All Races,Female,1987
78.897311,All Races,Female,1988
79.032181,All Races,Female,1989
79.160336,All Races,Female,1990
79.281569,All Races,Female,1991
79.395914,All Races,Female,1992
79.503304,All Races,Female,1993
79.603607,All Races,Female,1994
79.696775,All Races,Female,1995
79.782765,All Races,Female,1996
79.861502,All Races,Female,1997
79.932959,All Races,Female,1998
79.996958,All Races,Female,1999
80.053512,All Races,Female,2000
80.102499,All Races,Female,2001
80.144007,All Races,Female,2002
80.177843,All Races,Female,2003
80.203787,All Races,Female,2004
80.222075,All Races,Female,2005
80.232415,All Races,Female,2006
80.234837,All Races,Female,2007
80.229317,All Races,Female,2008
80.215651,All Races,Female,2009
80.193924,All Races,Female,2010
80.163961,All Races,Female,2011
80.125687,All Races,Female,2012
80.079106,All Races,Female,2013
44.602264,All Races,Male,1900
45.17424,All Races,Male,1901
45.737026,All Races,Male,1902
46.290649,All Races,Male,1903
46.835542,All Races,Male,1904
47.37146,All Races,Male,1905
47.898745,All Races,Male,1906
48.417387,All Races,Male,1907
48.927437,All Races,Male,1908
49.429143,All Races,Male,1909
49.922672,All Races,Male,1910
50.407913,All Races,Male,1911
50.88502,All Races,Male,1912
51.354255,All Races,Male,1913
51.815614,All Races,Male,1914
52.269192,All Races,Male,1915
52.715091,All Races,Male,1916
53.153575,All Races,Male,1917
53.584441,All Races,Male,1918
54.008131,All Races,Male,1919
54.424623,All Races,Male,1920
54.833877,All Races,Male,1921
55.236168,All Races,Male,1922
55.631608,All Races,Male,1923
56.020281,All Races,Male,1924
56.402167,All Races,Male,1925
56.777591,All Races,Male,1926
57.14652,All Races,Male,1927
57.509107,All Races,Male,1928
57.865385,All Races,Male,1929
58.215486,All Races,Male,1930
58.559615,All Races,Male,1931
58.897805,All Races,Male,1932
59.230224,All Races,Male,1933
59.556851,All Races,Male,1934
59.877866,All Races,Male,1935
60.193363,All Races,Male,1936
60.503611,All Races,Male,1937
60.808527,All Races,Male,1938
61.108198,All Races,Male,1939
61.402831,All Races,Male,1940
61.692456,All Races,Male,1941
61.977324,All Races,Male,1942
62.257364,All Races,Male,1943
62.532768,All Races,Male,1944
62.803682,All Races,Male,1945
63.070155,All Races,Male,1946
63.332329,All Races,Male,1947
63.590261,All Races,Male,1948
63.844138,All Races,Male,1949
64.09418,All Races,Male,1950
64.340191,All Races,Male,1951
64.582252,All Races,Male,1952
64.820795,All Races,Male,1953
65.055884,All Races,Male,1954
65.287365,All Races,Male,1955
65.515603,All Races,Male,1956
65.740531,All Races,Male,1957
65.96236,All Races,Male,1958
66.181196,All Races,Male,1959
66.397041,All Races,Male,1960
66.61021,All Races,Male,1961
66.820608,All Races,Male,1962
67.02846,All Races,Male,1963
67.23376,All Races,Male,1964
67.436698,All Races,Male,1965
67.637337,All Races,Male,1966
67.835928,All Races,Male,1967
68.032356,All Races,Male,1968
68.226954,All Races,Male,1969
68.41966,All Races,Male,1970
68.610587,All Races,Male,1971
68.800011,All Races,Male,1972
68.98797,All Races,Male,1973
69.174326,All Races,Male,1974
69.359473,All Races,Male,1975
69.543419,All Races,Male,1976
69.726428,All Races,Male,1977
69.908309,All Races,Male,1978
70.089245,All Races,Male,1979
70.269616,All Races,Male,1980
70.449312,All Races,Male,1981
70.628477,All Races,Male,1982
70.807136,All Races,Male,1983
70.985458,All Races,Male,1984
71.163617,All Races,Male,1985
71.34161,All Races,Male,1986
71.519709,All Races,Male,1987
71.697827,All Races,Male,1988
71.876262,All Races,Male,1989
72.054969,All Races,Male,1990
72.234053,All Races,Male,1991
72.413758,All Races,Male,1992
72.5941,All Races,Male,1993
72.775067,All Races,Male,1994
72.957042,All Races,Male,1995
73.139945,All Races,Male,1996
73.323949,All Races,Male,1997
73.509131,All Races,Male,1998
73.695507,All Races,Male,1999
73.883442,All Races,Male,2000
74.072798,All Races,Male,2001
74.263785,All Races,Male,2002
74.456447,All Races,Male,2003
74.651111,All Races,Male,2004
74.847543,All Races,Male,2005
75.046063,All Races,Male,2006
75.246691,All Races,Male,2007
75.449805,All Races,Male,2008
75.655073,All Races,Male,2009
75.862804,All Races,Male,2010
76.073328,All Races,Male,2011
76.286449,All Races,Male,2012
76.50223,All Races,Male,2013
30.966089,Black,Female,1900
31.72049,Black,Female,1901
32.469297,Black,Female,1902
33.212554,Black,Female,1903
33.950176,Black,Female,1904
34.682269,Black,Female,1905
35.408692,Black,Female,1906
36.129501,Black,Female,1907
36.844632,Black,Female,1908
37.554122,Black,Female,1909
38.257859,Black,Female,1910
38.955921,Black,Female,1911
39.648304,Black,Female,1912
40.334833,Black,Female,1913
41.015651,Black,Female,1914
41.690696,Black,Female,1915
42.35996,Black,Female,1916
43.023321,Black,Female,1917
43.680854,Black,Female,1918
44.332541,Black,Female,1919
44.978318,Black,Female,1920
45.618236,Black,Female,1921
46.2523,Black,Female,1922
46.880295,Black,Female,1923
47.502382,Black,Female,1924
48.118531,Black,Female,1925
48.728678,Black,Female,1926
49.332811,Black,Female,1927
49.930953,Black,Female,1928
50.523013,Black,Female,1929
51.108998,Black,Female,1930
51.688836,Black,Female,1931
52.262695,Black,Female,1932
52.830372,Black,Female,1933
53.391902,Black,Female,1934
53.9473,Black,Female,1935
54.496517,Black,Female,1936
55.039533,Black,Female,1937
55.576366,Black,Female,1938
56.106968,Black,Female,1939
56.631248,Black,Female,1940
57.149316,Black,Female,1941
57.66109,Black,Female,1942
58.166594,Black,Female,1943
58.665715,Black,Female,1944
59.158552,Black,Female,1945
59.644997,Black,Female,1946
60.125072,Black,Female,1947
60.598752,Black,Female,1948
61.06606,Black,Female,1949
61.526862,Black,Female,1950
61.981256,Black,Female,1951
62.429168,Black,Female,1952
62.870615,Black,Female,1953
63.305555,Black,Female,1954
63.733924,Black,Female,1955
64.155743,Black,Female,1956
64.5711,Black,Female,1957
64.979857,Black,Female,1958
65.381971,Black,Female,1959
65.777457,Black,Female,1960
66.166326,Black,Female,1961
66.548589,Black,Female,1962
66.92415,Black,Female,1963
67.293035,Black,Female,1964
67.655211,Black,Female,1965
68.010643,Black,Female,1966
68.359366,Black,Female,1967
68.701341,Black,Female,1968
69.036523,Black,Female,1969
69.364918,Black,Female,1970
69.686422,Black,Female,1971
70.001185,Black,Female,1972
70.30911,Black,Female,1973
70.610121,Black,Female,1974
70.904265,Black,Female,1975
71.191465,Black,Female,1976
71.471841,Black,Female,1977
71.745178,Black,Female,1978
72.011619,Black,Female,1979
72.271128,Black,Female,1980
72.523543,Black,Female,1981
72.768988,Black,Female,1982
73.007429,Black,Female,1983
73.238817,Black,Female,1984
73.463114,Black,Female,1985
73.680396,Black,Female,1986
73.890456,Black,Female,1987
74.093523,Black,Female,1988
74.289364,Black,Female,1989
74.47816,Black,Female,1990
74.659674,Black,Female,1991
74.834099,Black,Female,1992
75.001282,Black,Female,1993
75.161215,Black,Female,1994
75.313907,Black,Female,1995
75.459372,Black,Female,1996
75.597533,Black,Female,1997
75.72843,Black,Female,1998
75.852021,Black,Female,1999
75.968255,Black,Female,2000
76.077181,Black,Female,2001
76.178731,Black,Female,2002
76.272866,Black,Female,2003
76.359619,Black,Female,2004
76.438987,Black,Female,2005
76.510909,Black,Female,2006
76.575382,Black,Female,2007
76.632325,Black,Female,2008
76.681862,Black,Female,2009
76.723899,Black,Female,2010
76.758388,Black,Female,2011
76.785342,Black,Female,2012
76.804774,Black,Female,2013
26.780653,Black,Male,1900
27.778085,Black,Male,1901
